Iteration = 2
min = 13.665152 
x[0] = -0.198047 
x[1] = -0.198047 

M[0] = 1.000000 
NumberOfTrials = 1
Solve time = 0.000037 


Iteration = 10
min = 3.074549 
x[0] = -1.069141 
x[1] = 1.001172 

M[0] = 43.130677 
NumberOfTrials = 9
Solve time = 0.008343 


Iteration = 2
min = 13.665152 
x[0] = -0.198047 
x[1] = -0.198047 

M[0] = 1.000000 
NumberOfTrials = 1
Solve time = 0.000022 


Iteration = 10
min = 3.074549 
x[0] = -1.069141 
x[1] = 1.001172 

M[0] = 43.130677 
NumberOfTrials = 9
Solve time = 0.003658 


Iteration = 66
min = 0.586693 
x[0] = 0.051953 
x[1] = 0.016797 

M[0] = 285.505195 
NumberOfTrials = 65
Solve time = 0.012926 


Iteration = 2
min = 13.665152 
x[0] = -0.198047 
x[1] = -0.198047 

M[0] = 1.000000 
NumberOfTrials = 1
Solve time = 0.000022 


Iteration = 2
min = 13.665152 
x[0] = -0.198047 
x[1] = -0.198047 

M[0] = 1.000000 
NumberOfTrials = 1
Solve time = 0.000020 


Iteration = 10
min = 3.074549 
x[0] = -1.069141 
x[1] = 1.001172 

M[0] = 43.130677 
NumberOfTrials = 9
Solve time = 0.003256 


Iteration = 10
min = 3.074549 
x[0] = -1.069141 
x[1] = 1.001172 

M[0] = 43.130677 
NumberOfTrials = 9
Solve time = 0.003310 


Iteration = 66
min = 0.586693 
x[0] = 0.051953 
x[1] = 0.016797 

M[0] = 285.505195 
NumberOfTrials = 65
Solve time = 0.008396 


Iteration = 215
min = 0.328207 
x[0] = -0.006641 
x[1] = 0.040234 

M[0] = 350.108309 
NumberOfTrials = 214
Solve time = 0.017906 


Iteration = 66
min = 0.586693 
x[0] = 0.051953 
x[1] = 0.016797 

M[0] = 285.505195 
NumberOfTrials = 65
Solve time = 0.009109 


Iteration = 215
min = 0.328207 
x[0] = -0.006641 
x[1] = 0.040234 

M[0] = 350.108309 
NumberOfTrials = 214
Solve time = 0.014131 


Iteration = 227
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 350.108309 
NumberOfTrials = 226
Solve time = 0.023811 


Iteration = 227
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 350.108309 
NumberOfTrials = 226
Solve time = 0.018144 


Iteration = 215
min = 0.328207 
x[0] = -0.006641 
x[1] = 0.040234 

M[0] = 350.108309 
NumberOfTrials = 214
Solve time = 0.013878 


Iteration = 215
min = 0.328207 
x[0] = -0.006641 
x[1] = 0.040234 

M[0] = 350.108309 
NumberOfTrials = 214
Solve time = 0.014118 


Iteration = 648
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 509.897390 
NumberOfTrials = 647
Solve time = 0.029440 


Iteration = 227
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 350.108309 
NumberOfTrials = 226
Solve time = 0.017912 


Iteration = 648
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 509.897390 
NumberOfTrials = 647
Solve time = 0.024346 


Iteration = 648
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 509.897390 
NumberOfTrials = 647
Solve time = 0.024806 


Iteration = 648
min = 0.016282 
x[0] = 0.001172 
x[1] = 0.008984 

M[0] = 509.897390 
NumberOfTrials = 647
Solve time = 0.025015 


