966 4
0.250977 -0.999023 | 0.063844 
0.250977 -0.749023 | 0.0534738 
0.000976563 -0.499023 | 0.0547238 
0.350586 -0.241211 | 0.0324742 
0.500977 -0.499023 | 0.0352336 
0.579102 -0.202148 | 0.0234333 
0.844727 -0.243164 | 0.0166949 
0.889648 -0.0869141 | 0.0112317 
0.963867 -0.274414 | 0.0145192 
0.856445 -0.375977 | 0.0203884 
0.977539 -0.47168 | 0.0203892 
0.81543 -0.55957 | 0.0276312 
0.663086 -0.680664 | 0.03649 
1.00098 -0.999023 | 0.0402336 
1.12207 -0.508789 | 0.0183189 
1.21387 -0.71582 | 0.0239283 
1.41309 -0.612305 | 0.0165368 
1.28809 -0.969727 | 0.032893 
1.65918 -0.987305 | 0.0282679 
1.93652 -0.821289 | 0.0190503 
1.75293 -0.651367 | 0.0137743 
1.9248 -0.620117 | 0.0113856 
1.71387 -0.55957 | 0.0108241 
1.62598 -0.65918 | 0.0153605 
1.62207 -0.583008 | 0.0126312 
1.52441 -0.350586 | 0.00610733 
1.62402 -0.327148 | 0.00413931 
1.66113 -0.311523 | 0.00325081 
1.63379 -0.420898 | 0.00697907 
1.75488 -0.389648 | 0.00475111 
1.94824 -0.489258 | 0.00666974 
1.93066 -0.313477 | 0.00113153 
1.97559 -0.276367 | -0.000199783 9.80491 
1.81543 -0.262695 | 0.000373719 
1.80371 -0.34082 | 0.00281172 
1.76074 -0.239258 | 0.000144105 
1.83887 -0.241211 | -0.000424941 9.67424 
1.91504 -0.180664 | -0.00262564 9.86827 
1.77051 -0.0849609 | -0.00414412 9.61621 
1.63184 -0.104492 | -0.0022549 9.03142 
1.68457 -0.239258 | 0.000871308 
1.60645 -0.155273 | -0.000609267 8.86413 
1.57324 -0.196289 | 0.000924485 
1.61621 -0.0791016 | -0.0027309 8.96148 
1.33887 -0.0146484 | -0.000330795 6.96407 
1.27441 -0.120117 | 0.00349419 
1.33691 -0.186523 | 0.00417365 
1.41699 -0.241211 | 0.0044019 
1.48926 -0.243164 | 0.00337877 
1.49707 -0.319336 | 0.00552492 
1.28027 -0.454102 | 0.0133195 
1.14746 -0.338867 | 0.0122595 
1.06934 -0.452148 | 0.01758 
1.03027 -0.147461 | 0.00933911 
1.21777 -0.225586 | 0.00747064 
1.18652 -0.0986328 | 0.00463582 
1.0752 -0.0146484 | 0.00490556 
1.00098 0.000976563 | 0.00625314 
1.13184 0.000976563 | 0.00328632 
1.1416 0.0966797 | 0.00087523 
1.20605 0.186523 | -0.00234938 5.5356 
1.13965 0.211914 | -0.00149341 4.74742 
1.0498 0.239258 | -4.02519e-05 3.58695 
1.07324 0.418945 | -0.0037037 3.59677 
1.19434 0.282227 | -0.00396332 5.29327 
1.34863 0.44043 | -0.00948227 6.56867 
1.40332 0.254883 | -0.00722055 7.36518 
1.47754 0.100586 | -0.00519339 8.07911 
1.6748 0.0361328 | -0.00619583 9.26235 
1.8252 0.166992 | -0.0104242 9.71808 
1.85254 0.399414 | -0.0148833 9.45017 
1.56543 0.389648 | -0.0119065 8.30897 
1.62793 0.610352 | -0.0157505 8.10731 
1.81934 0.631836 | -0.0178228 8.7753 
1.82129 0.936523 | -0.0203716 7.58552 
1.68457 0.80957 | -0.018319 7.67055 
1.57715 0.94043 | -0.0179468 6.54729 
1.25684 0.938477 | -0.0129205 3.96279 
1.38379 0.852539 | -0.0146307 5.54603 
1.4873 0.579102 | -0.0135655 7.33621 
1.27246 0.661133 | -0.0109929 5.23147 
1.24902 0.604492 | -0.00991014 5.17004 
1.0459 0.59082 | -0.0054695 2.80573 
1.03809 0.737305 | -0.00685869 2.21541 
