444 4
0.000244141 -0.499756 | 0.054781 
0.500244 -0.499756 | 0.0352834 
1.00024 -0.999756 | 0.0402834 
1.82397 -0.855225 | 0.0211534 
1.61743 -0.554932 | 0.0116917 
1.94604 -0.400146 | 0.00374962 
1.87817 -0.243408 | -0.000630007 9.74881 
1.67798 -0.0168457 | -0.0049678 9.27917 
1.58423 -0.0622559 | -0.00277536 8.78985 
1.32056 -0.188721 | 0.00451966 
1.19653 -0.488037 | 0.0160641 
1.00024 0.000244141 | 0.00628828 
1.12573 0.120361 | 0.000696705 
1.03394 0.19751 | 0.00114693 
1.09595 0.446533 | -0.00463355 3.82575 
1.14673 0.268799 | -0.00273484 4.76331 
1.39526 0.0681152 | -0.00321236 7.44878 
1.53784 0.293213 | -0.00989284 8.3018 
1.54565 0.798096 | -0.016603 6.97407 
1.33618 0.585693 | -0.0112645 6.08231 
1.13599 0.790283 | -0.00950007 3.25447 
0.998291 0.804443 | -0.0064943 1.41398 
0.922607 0.811768 | -0.00467544 0.291648 
0.903564 0.752197 | -0.00368728 0.237089 
0.9021 0.79126 | -0.00398386 0.0640389 
0.886963 0.836182 | -0.0039357 -0.351135 -180.129 -1.3863 
0.924072 0.822021 | -0.00479141 0.271671 
0.922119 0.866455 | -0.00505768 0.0548949 
0.898682 0.867432 | -0.00445969 -0.304026 -183.889 -1.43966 
0.890381 0.851807 | -0.00413659 -0.364316 -180.64 -1.41956 
0.851807 0.843994 | -0.00305634 -0.93601 -155.16 -1.43027 
0.861572 0.78833 | -0.00289139 -0.553784 -167.937 -1.29245 
0.809326 0.780029 | -0.00139651 -1.36628 -126.649 -1.36338 
0.790283 0.81958 | -0.00117979 -1.84188 -105.63 -1.34019 
0.761475 0.932373 | -0.00109021 -2.8257 -67.5953 -0.732859 
0.862549 0.895264 | -0.0036836 -0.988431 -157.945 -1.41068 
0.796631 0.962158 | -0.00223986 -2.3706 -97.132 -0.787636 
0.717529 0.956299 | 7.10965e-05 
0.716064 0.888916 | 0.00048838 
0.531006 0.940186 | 0.00603045 
0.530029 0.66626 | 0.00823681 
0.723877 0.584717 | 0.00307513 
0.806885 0.616455 | 0.000312947 
0.767334 0.700928 | 0.00051605 
0.769775 0.73999 | 7.15142e-05 
0.797119 0.746826 | -0.000765588 -1.44245 -119.106 -1.30388 
0.840576 0.717529 | -0.00169189 -0.622285 -159.1 -1.04599 
0.859131 0.677979 | -0.00179564 -0.187904 -177.202 -0.740201 
0.878662 0.729736 | -0.00282918 -0.0632229 -185.521 -0.928288 
0.914795 0.717529 | -0.0036547 0.534615 
0.948975 0.748291 | -0.00480894 0.92894 
0.938721 0.670654 | -0.00378968 1.05393 
0.971924 0.554932 | -0.00325716 1.89026 
0.900146 0.497314 | -0.000666139 0.981156 
0.795654 0.468018 | 0.00257985 
0.864014 0.379639 | 0.00207852 
0.822021 0.0686035 | 0.00928883 
0.574951 0.0144043 | 0.0179642 
0.706787 0.462158 | 0.00524095 
0.450439 0.168701 | 0.0187454 
0.180908 0.369385 | 0.0251665 
0.000244141 1.00024 | 0.0262883 
0.381104 1.38013 | 0.0109083 
0.308838 1.13989 | 0.0133011 
0.505615 1.23315 | 0.00622039 
0.625732 1.17017 | 0.00229208 
0.743408 1.21753 | -0.00128033 -4.67138 -22.0642 -0.0136789 
0.716064 1.07153 | -0.000314316 -4.31831 -11.1331 -0.0969071 
0.80249 1.01196 | -0.00261609 -2.51871 -97.4075 -0.567144 
0.854736 1.02856 | -0.00410876 -1.7534 -138.903 -0.778091 
0.933838 1.08472 | -0.00633543 -0.835288 -178.762 -0.937561 
0.940674 1.23413 | -0.00662933 -1.60056 -166.294 -0.260386 
0.835205 1.36938 | -0.00358644 -4.10989 -89.6059 -0.00438689 
0.988525 1.4314 | -0.00728785 -2.22697 -156.472 -0.0282538 
0.87085 1.3894 | -0.00447485 -3.68014 -114.342 -0.00625591 
0.771729 1.46021 | -0.00142334 -5.80724 -24.4215 -0.000144569 
0.699463 1.49097 | 0.000862733 
0.642822 1.34985 | 0.00197259 
0.527588 1.46216 | 0.00615689 
0.651123 1.6228 | 0.00327782 
0.674561 1.50513 | 0.00170068 
0.792236 1.55981 | -0.00138735 -6.21237 -33.3855 -8.55938e-05 
0.892822 1.51978 | -0.0043903 -4.28709 -115.292 -0.00051568 
0.93335 1.74634 | -0.00347112 -5.52523 -112.413 -4.36128e-06 
0.787354 1.64038 | -0.000604946 -6.93901 -20.8705 -0.000134746 
0.766846 1.77808 | 0.00138103 
0.786865 1.83032 | 0.00144256 
0.825439 1.77612 | -0.000286655 -7.46704 -40.8779 -0.000108251 
0.978271 1.75806 | -0.00445952 -4.97642 -122.802 -6.75534e-06 
0.926025 1.92163 | -0.00106238 -7.24153 -91.9341 -4.85226e-06 
0.995361 1.96558 | -0.00212739 -6.66774 -103.379 -7.97918e-09 
0.853271 1.98071 | 0.0017319 
0.790771 1.97095 | 0.00330285 
0.664307 1.75757 | 0.00419237 
0.393799 1.93335 | 0.0155016 
0.440674 1.70532 | 0.0110058 
0.000244141 2.00024 | 0.0322932 
0.500244 2.50024 | 0.023298 
0.838623 2.8606 | 0.0236093 
0.999756 2.49976 | 0.00879951 
0.755127 2.49731 | 0.0152068 
0.749756 2.24976 | 0.00955195 
0.750244 2.00024 | 0.00492183 
0.875244 2.12524 | 0.00361055 
0.999756 2.12476 | 0.000457594 
0.937256 2.06226 | 0.000880079 
1.00024 2.00024 | -0.00170195 -6.9435 -99.9754 -2.40784e-09 
1.12524 2.12524 | -0.00238823 -6.60553 -43.3665 -3.66646e-05 
1.18774 2.18774 | -0.002497 -6.54722 11.599 
1.24976 2.12476 | -0.00491863 -5.19526 62.2594 
1.25024 2.00024 | -0.00707573 -3.90615 50.2684 
1.37964 2.12134 | -0.00728144 -3.92274 171.253 
1.25024 2.25024 | -0.00244951 -6.5627 75.2684 
1.37524 2.37524 | -0.00188579 -6.81502 193.76 
1.37476 2.49976 | 0.00120393 
1.24976 2.49976 | 0.00342329 
1.00024 2.50024 | 0.00880049 
1.25024 2.75024 | 0.0105529 
1.49976 2.74976 | 0.00642085 
1.37476 2.62476 | 0.00460957 
1.37524 2.50024 | 0.00120857 
1.50024 2.50024 | -0.000697069 -7.36247 250.024 
1.62524 2.50024 | -0.00229021 -6.60334 205.925 
1.62524 2.62524 | 0.00111665 
1.50024 2.75024 | 0.00642915 
1.75024 2.75024 | 0.00355537 
1.88794 2.88403 | 0.0068335 
1.99976 2.74976 | 0.00191841 
1.87476 2.74976 | 0.00257527 
1.81226 2.68726 | 0.00112276 
1.81274 2.62524 | -0.00068712 -7.47327 54.911 
1.87476 2.62476 | -0.00114287 -7.33229 6.57485 
1.81226 2.56226 | -0.00243913 -6.65766 49.0373 
1.87524 2.50024 | -0.00453899 -5.73614 -6.20172 -0.00850574 
1.99976 2.49976 | -0.00520537 -5.62195 -50.0242 -0.0158182 
