461 4
0.000488281 -0.499512 | 0.0547619 
0.500488 -0.499512 | 0.0352668 
1.00049 -0.999512 | 0.0402668 
1.78271 -0.831543 | 0.0205129 
1.61572 -0.525879 | 0.0107004 
1.70459 -0.340332 | 0.00368054 
1.98291 -0.382324 | 0.00300878 
1.85791 -0.237793 | -0.000657259 9.71843 
1.70654 -0.0131836 | -0.00534686 9.40153 
1.57178 -0.0541992 | -0.00282321 8.71922 
1.33057 -0.220215 | 0.00522925 
1.21826 -0.491699 | 0.0157566 
1.00049 0.000488281 | 0.00627657 
1.12842 0.118652 | 0.000676008 
1.03467 0.195801 | 0.00116415 
1.03174 0.373535 | -0.0020212 3.14055 
1.09521 0.446777 | -0.00462105 3.816 
1.146 0.27002 | -0.00274212 4.75298 
1.39209 0.0698242 | -0.00319984 7.42146 
1.53955 0.291504 | -0.00988442 8.31525 
1.57373 0.790527 | -0.0169012 7.17582 
1.33252 0.587402 | -0.011222 6.04344 
1.13916 0.783691 | -0.00951306 3.31842 
0.994629 0.811035 | -0.00645787 1.33631 
0.924316 0.805176 | -0.00466745 0.343847 
0.900879 0.758301 | -0.00367186 0.173094 
0.905762 0.784668 | -0.00402447 0.145758 
0.88623 0.838379 | -0.0039324 -0.37166 -179.458 -1.39394 
0.933105 0.824707 | -0.00504133 0.395035 
0.924316 0.85498 | -0.00503593 0.137138 
0.909668 0.871582 | -0.00477185 -0.15486 -189.336 -1.43225 
0.887207 0.855957 | -0.00408209 -0.431019 -178.301 -1.43218 
0.855957 0.854004 | -0.00323835 -0.912434 -157.266 -1.4357 
0.86084 0.781738 | -0.00281707 -0.539494 -168.067 -1.26874 
0.805176 0.782715 | -0.00130338 -1.44553 -122.72 -1.36828 
0.796387 0.819824 | -0.00135336 -1.74059 -111.145 -1.35631 
0.754395 0.936035 | -0.000905474 -2.96494 -60.5654 -0.673384 
0.859863 0.88623 | -0.00355582 -0.990676 -156.91 -1.41915 
0.79541 0.958496 | -0.00218803 -2.37343 -96.3956 -0.799638 
0.750488 0.994629 | -0.00106738 -3.31544 -51.0251 -0.391087 
0.713379 0.963379 | 0.000160318 
0.713379 0.89502 | 0.000530554 
0.528809 0.943848 | 0.00608495 
0.525879 0.665527 | 0.00838342 
0.720215 0.589355 | 0.00312651 
0.812012 0.611816 | 0.000224714 
0.77002 0.699707 | 0.000451372 
0.76416 0.737793 | 0.000252714 
0.803223 0.740723 | -0.000880774 -1.31804 -125.184 -1.27501 
0.837402 0.714355 | -0.00157477 -0.662102 -156.882 -1.04365 
0.853027 0.67334 | -0.00158294 -0.269204 -173.146 -0.745322 
0.904785 0.626465 | -0.00243476 0.689024 
0.884277 0.730957 | -0.00298873 0.0195528 
0.945801 0.668457 | -0.00394446 1.1653 
0.973145 0.550293 | -0.00322706 1.9205 
0.904785 0.497559 | -0.000789946 1.05126 
0.79248 0.461426 | 0.00276603 
0.85791 0.375488 | 0.00231025 
0.817871 0.0649414 | 0.00948638 
0.57373 0.000488281 | 0.0183358 
0.708496 0.460449 | 0.00521519 
0.44873 0.126465 | 0.0196942 
0.172363 0.373535 | 0.0254435 
0.000488281 1.00049 | 0.0262766 
0.408691 1.40771 | 0.0100193 
0.32959 1.14404 | 0.0125157 
0.530762 1.21729 | 0.00536655 
0.654785 1.17236 | 0.00138453 
0.741699 1.23877 | -0.00121856 -4.83166 -18.3313 -0.0086963 
0.729004 1.07861 | -0.000714358 -4.12679 -22.4358 -0.107182 
0.779785 1.00732 | -0.00195866 -2.87651 -77.2023 -0.473077 
0.840332 1.00146 | -0.00361887 -1.84643 -130.513 -0.839981 
0.931152 1.1001 | -0.00630045 -0.959116 -176.183 -0.833409 
0.958496 1.22119 | -0.00708219 -1.26112 -172.815 -0.369554 
0.812988 1.36572 | -0.00298734 -4.4477 -71.2792 -0.00287189 
0.986816 1.42041 | -0.00729605 -2.17267 -157.446 -0.0333081 
0.859863 1.40479 | -0.00412097 -3.96072 -105.055 -0.00352606 
0.76123 1.46143 | -0.00111599 -5.99601 -14.4605 -0.00012959 
0.714355 1.49756 | 0.000456808 
0.655762 1.36865 | 0.00163115 
0.523926 1.46338 | 0.00628593 
0.64209 1.61963 | 0.00353172 
0.690918 1.51514 | 0.0012664 
0.786621 1.56104 | -0.00122014 -6.3163 -28.1334 -9.31194e-05 
0.884277 1.53076 | -0.00409471 -4.50278 -109.005 -0.000313958 
0.909668 1.74463 | -0.00288423 -5.86505 -102.031 -8.04194e-06 
0.847168 1.6958 | -0.00174027 -6.41867 -66.4351 -4.73774e-05 
0.766113 1.6499 | 8.44324e-05 
0.804199 1.82275 | 0.000860822 
0.824707 1.75342 | -0.000522978 -7.27864 -42.5336 -0.000101828 
0.993652 1.77002 | -0.00469803 -4.86531 -122.88 -7.50307e-06 
0.912598 1.89795 | -0.00105462 -7.21694 -88.1613 -9.14992e-06 
0.987793 1.96924 | -0.00188827 -6.80977 -102.637 -8.8121e-09 
0.83252 1.98975 | 0.00243702 
0.787598 1.98779 | 0.00365498 
0.643066 1.75342 | 0.00480314 
0.430176 1.96045 | 0.0146056 
0.433105 1.72803 | 0.0115073 
0.000488281 2.00049 | 0.0322863 
0.0180664 2.55518 | 0.0434734 
0.500488 2.50049 | 0.0232961 
0.833496 2.8501 | 0.0234016 
0.999512 2.49951 | 0.00879903 
0.757324 2.49854 | 0.0151751 
0.749512 2.24951 | 0.00955391 
0.750488 2.00049 | 0.00491866 
0.875488 2.12549 | 0.0036086 
0.999512 2.12451 | 0.00045894 
0.937012 2.06201 | 0.000882036 
1.00049 2.00049 | -0.0017039 -6.94255 -99.9504 -2.40785e-09 
1.12549 2.12549 | -0.00238896 -6.60516 -43.179 -3.69319e-05 
1.18799 2.18799 | -0.00249711 -6.54714 11.8362 
1.24951 2.12451 | -0.0049185 -5.19521 62.0049 
1.25049 2.00049 | -0.00707646 -3.90605 50.5229 
1.37939 2.12158 | -0.00727293 -3.92744 171.119 
1.25049 2.25049 | -0.00244902 -6.56291 75.5229 
1.37549 2.37549 | -0.00188408 -6.8158 193.947 
1.37451 2.49951 | 0.00120162 
1.24951 2.49951 | 0.00342159 
1.00049 2.50049 | 0.00880098 
1.00928 2.74561 | 0.0155672 
1.25049 2.75049 | 0.0105559 
1.49951 2.74951 | 0.0064167 
1.37451 2.62451 | 0.00460665 
1.37549 2.50049 | 0.00121089 
1.50049 2.50049 | -0.000694136 -7.36383 250.048 
1.62549 2.50049 | -0.00228667 -6.60513 205.786 
1.62549 2.62549 | 0.00112081 
1.50049 2.75049 | 0.00643331 
1.62744 2.89893 | 0.00964172 
1.75049 2.75049 | 0.00356075 
1.89014 2.88428 | 0.00682805 
1.99951 2.74951 | 0.00191182 
1.87451 2.74951 | 0.00256929 
1.81201 2.68701 | 0.00111739 
1.81299 2.62549 | -0.000682051 -7.47584 54.723 
1.87451 2.62451 | -0.00114824 -7.32951 6.71351 
1.81201 2.56201 | -0.00244389 -6.65517 49.2257 
1.87549 2.50049 | -0.00453422 -5.73877 -6.33964 -0.00849251 
1.99951 2.49951 | -0.00521074 -5.6189 -50.0481 -0.0158436 
1.87451 2.37451 | -0.0076458 -4.20512 -18.2865 -0.0288879 
1.81201 2.31201 | -0.00862895 -3.60891 24.2257 
1.75049 2.37549 | -0.00666167 -4.5397 87.0886 
1.74951 2.49951 | -0.0035833 -6.05462 100.411 
1.62061 2.37158 | -0.00541698 -5.06059 196.11 
1.74951 2.24951 | -0.00945585 -3.08648 75.4114 
1.62061 2.11963 | -0.0106858 -2.23165 170.914 
1.75049 2.00049 | -0.0140716 -0.437217 49.5886 
1.75049 2.12549 | -0.0119141 -1.72659 62.0886 
1.81299 2.18799 | -0.011241 -2.2111 10.973 
1.87549 2.12549 | -0.0128816 -1.40191 -43.8396 -0.204384 
1.99951 2.12451 | -0.0135508 -1.28388 -87.5481 -0.357956 
1.93701 2.06201 | -0.0143777 -0.657283 -82.202 -0.382615 
1.93799 2.00049 | -0.0154057 -0.0315879 -88.7066 -0.456136 
1.99951 1.99951 | -0.0157059 0.00488056 
1.7915 1.94971 | -0.0152107 0.194727 
1.91455 1.77783 | -0.0183463 2.04758 
1.75537 1.5874 | -0.0190222 3.28481 
1.61182 1.50732 | -0.0180959 3.2735 
1.73877 1.84424 | -0.0162222 1.02306 
1.604 1.87842 | -0.0143454 0.0898863 
1.44971 1.97217 | -0.0109082 -1.82655 189.792 
1.479 1.87061 | -0.0128045 -0.632891 185.758 
1.29053 1.83643 | -0.0101782 -1.92665 71.4396 
1.20947 1.91553 | -0.00756876 -3.51293 3.7826 
1.17725 1.97314 | -0.00606222 -4.43411 -18.877 -0.00017051 
1.02393 1.98584 | -0.00249305 -6.47502 -99.7212 -6.65046e-08 
1.06299 1.82764 | -0.00563277 -4.4478 -105.634 -1.28661e-05 
1.21143 1.77588 | -0.00941084 -2.20276 -8.39803 -0.00240867 
1.00537 1.68701 | -0.00585681 -3.98507 -131.213 -0.000122987 
1.15186 1.58252 | -0.0100507 -1.2564 -78.4816 -0.0335874 
1.20947 1.53857 | -0.0115422 -0.257842 -33.9127 -0.154158 
1.29248 1.55615 | -0.0129956 0.469698 
1.34814 1.56006 | -0.013947 0.964741 
1.32764 1.60303 | -0.0132655 0.436367 
1.26416 1.63428 | -0.0118561 -0.437297 26.7692 
1.31396 1.74463 | -0.0116832 -0.877688 83.1496 
1.42334 1.67236 | -0.0142367 0.698718 
1.47607 1.69092 | -0.0148493 0.945753 
1.47412 1.53857 | -0.0160847 2.1615 
1.37354 1.33643 | -0.0154834 2.80951 
1.20947 1.41553 | -0.012224 0.65089 
1.11279 1.49756 | -0.0097944 -1.07293 -114.114 -0.0730259 
1.02686 1.43701 | -0.00817557 -1.73897 -154.165 -0.0496586 
1.00537 1.26221 | -0.00818992 -0.852963 -173.693 -0.394405 
1.11963 1.27588 | -0.0107704 0.548018 
1.14111 1.29443 | -0.0111984 0.688282 
1.23584 1.28467 | -0.0131323 1.81893 
1.17236 1.22412 | -0.0119338 1.497 
1.1333 1.04346 | -0.0108765 2.06155 
1.34424 1.23877 | -0.0151617 3.17735 
1.63818 1.11182 | -0.0192659 6.00056 
1.64209 1.48779 | -0.0185591 3.5766 
2.00049 1.00049 | -0.0217039 7.49756 
2.31494 1.32764 | -0.022205 4.90465 
2.54834 1.1001 | -0.0211868 4.88643 
2.88525 1.05518 | -0.0175945 1.77433 
2.93311 1.1958 | -0.0171254 0.378722 
2.82959 1.32471 | -0.0183806 0.833577 
2.87158 1.26025 | -0.0179535 0.754017 
2.96045 1.31006 | -0.016596 -0.696625 -164.378 -0.0248145 
2.99951 1.39893 | -0.0157121 -1.83015 -160.107 -0.0671218 
2.854 1.43311 | -0.0176794 -0.199219 -97.8576 -0.0885725 
2.77979 1.42725 | -0.0186221 0.684749 
2.70068 1.46729 | -0.0192787 1.20826 
2.50049 1.50049 | -0.0206941 2.63183 
2.65967 1.64795 | -0.0183805 0.188701 
2.70166 1.74072 | -0.0170596 -0.994226 68.9595 
2.74756 1.59814 | -0.0179166 -0.266025 12.1431 
2.66357 1.60303 | -0.0187267 0.517906 
2.67822 1.54346 | -0.0190334 0.850004 
2.75049 1.50049 | -0.0185667 0.459999 
2.81299 1.56299 | -0.0174248 -0.697261 -51.5013 -0.230761 
2.87549 1.50049 | -0.0170342 -0.951439 -106.32 -0.155389 
2.87549 1.62549 | -0.0161268 -1.92831 -93.82 -0.346335 
2.87451 1.74951 | -0.0149307 -2.96289 -80.7668 -0.606662 
2.81201 1.68701 | -0.0163826 -1.69393 -38.2486 -0.452479 
2.75049 1.68799 | -0.0170883 -1.0346 18.3664 
2.75049 1.75049 | -0.0164393 -1.57186 24.6164 
2.76318 1.81006 | -0.0156065 -2.23557 18.6229 
2.80029 1.8208 | -0.0150425 -2.73599 -14.5072 -0.725345 
2.86963 1.77686 | -0.0146883 -3.14481 -74.7185 -0.665303 
2.89209 1.85107 | -0.0134711 -4.09275 -81.6951 -0.824844 
2.95459 1.93311 | -0.0114315 -5.67031 -100.616 -0.96162 
2.88525 1.96338 | -0.0119768 -5.07933 -66.316 -0.964203 
2.81396 1.88428 | -0.0140481 -3.47722 -20.2206 -0.843154 
2.78467 1.91357 | -0.0139898 -3.43014 8.96948 
2.76221 1.87842 | -0.0147367 -2.85558 26.3763 
2.79932 1.98389 | -0.0127634 -4.27637 2.67707 
2.68408 1.81689 | -0.0163511 -1.50254 92.0784 
2.49951 1.99951 | -0.0152107 -1.72784 199.95 
2.37451 1.99951 | -0.0158033 -0.969139 155.679 
2.37451 1.87451 | -0.0176458 0.241494 
2.36768 1.75537 | -0.0191345 1.35789 
2.49951 1.74951 | -0.0185833 0.6153 
2.40576 1.60498 | -0.0204365 2.41674 
2.24951 1.74951 | -0.0194559 1.91569 
2.00049 1.75049 | -0.0190716 2.33948 
2.12549 1.87549 | -0.0178816 1.097 
2.18799 1.93799 | -0.0170523 0.36509 
2.18701 1.99951 | -0.0161061 -0.237988 -7.88744 -0.378031 
2.12451 1.99951 | -0.0160508 -0.102779 -56.4471 -0.392813 
2.00049 2.00049 | -0.0156941 -0.00488506 -99.9505 -0.458177 
2.02588 2.20654 | -0.0120655 -2.17673 -77.3684 -0.264115 
2.08447 2.13818 | -0.0135646 -1.47913 -65.5499 -0.400336 
2.12549 2.18799 | -0.0126833 -2.07759 -36.9487 -0.367931 
2.20068 2.22803 | -0.0119316 -2.68994 27.0514 
2.4126 2.05127 | -0.0148014 -1.70147 183.061 
2.45654 2.40088 | -0.00742076 -5.85799 234.526 
2.2124 2.42627 | -0.00746109 -5.03026 57.5082 
2.18701 2.31201 | -0.0101326 -3.60637 23.3626 
2.16553 2.32568 | -0.00981648 -3.71228 6.6304 
2.07373 2.3374 | -0.00940372 -3.69638 -50.4537 -0.131914 
2.10303 2.42432 | -0.00741646 -4.76699 -27.2279 -0.0686113 
2.09912 2.58154 | -0.00331162 -6.72914 -13.689 -0.00935146 
2.23877 2.5249 | -0.00493131 -6.33374 91.901 
2.12549 2.62549 | -0.00212431 -7.34233 6.80131 
2.22803 2.63818 | -0.00180842 -7.76112 93.1622 
2.23877 2.7251 | 0.000774259 
2.09912 2.66846 | -0.000834574 -7.86989 -4.99755 -0.00236426 
2.04053 2.73682 | 0.00137236 
2.10303 2.82568 | 0.00402251 
2.22998 2.85303 | 0.00483398 
2.35791 2.979 | 0.00939791 
2.43896 2.69189 | 0.000328535 
2.27588 2.70068 | 7.80886e-05 
2.37256 2.58936 | -0.00289915 -7.72579 213.35 
2.29346 2.51123 | -0.0052194 -6.36373 141.559 
2.71143 2.50049 | -0.00297174 -9.14587 136.075 
2.65088 2.604 | -0.000754812 -9.89406 197.917 
2.73291 2.70654 | 0.00303665 
2.54932 2.74561 | 0.00260918 
2.66943 2.97705 | 0.0112828 
2.80127 2.9126 | 0.0104452 
2.99951 2.74951 | 0.00790206 
2.77197 2.70068 | 0.00329204 
2.8374 2.57373 | 0.000434171 
2.81201 2.56201 | -0.000203657 -10.9887 49.2514 
2.8374 2.55127 | -0.000177889 -11.1422 26.8564 
2.90283 2.53564 | 0.000279192 
2.94092 2.58447 | 0.00215724 
2.94678 2.50928 | 0.000218836 
2.92334 2.49072 | -0.000608145 -11.4298 -33.846 -0.0952387 
2.89014 2.25146 | -0.00668133 -8.17512 -40.4924 -0.560277 
2.84033 2.271 | -0.00692942 -7.79743 -3.5129 -0.496536 
2.75732 2.31885 | -0.0068757 -7.42555 75.0123 
2.77002 2.41553 | -0.00447571 -8.7045 72.7626 
2.67432 2.39697 | -0.0059228 -7.52135 158.392 
2.68604 2.35889 | -0.00670751 -7.17923 144.588 
2.54346 2.09912 | -0.0132362 -3.06678 204.361 
2.80127 2.1626 | -0.00961881 -6.15063 18.7985 
2.81299 2.18799 | -0.00898125 -6.55816 10.9987 
2.86182 2.22803 | -0.00755159 -7.56809 -24.1001 -0.612667 
2.82373 2.1626 | -0.00934366 -6.4041 -0.743859 -0.752221 
2.95068 2.22803 | -0.00629634 -8.68665 -70.0433 -0.632923 
2.9126 2.10498 | -0.00923215 -6.86093 -67.4292 -0.898931 
3.00049 2.00049 | -0.00968437 -6.95611 -99.9506 -0.999998 
3.06982 2.05908 | -0.00755384 -8.54763 -79.9019 -0.96236 
3.00244 2.11475 | -0.00769327 -8.15877 -88.5083 -0.896097 
3.05518 2.19287 | -0.00532881 -9.75363 -71.8011 -0.722198 
3.12549 2.12549 | -0.00536943 -10.0909 -43.2184 -0.848823 
3.12549 2.18799 | -0.00417351 -10.7649 -36.9684 -0.715373 
3.18799 2.18799 | -0.00297758 -11.769 11.7848 
3.24951 2.12451 | -0.00293803 -12.1261 61.9493 
3.25049 2.00049 | -0.00505693 -10.8641 50.4673 
3.37939 2.12158 | -9.7151e-05 -14.4662 171.081 
3.25049 2.25049 | -0.000429487 -13.5209 75.4673 
3.31299 2.31299 | 0.00227486 
3.37549 2.25049 | 0.00235298 
3.37549 2.37549 | 0.00513545 
3.24951 2.49951 | 0.00540206 
3.23096 2.3501 | 0.00135597 
3.22803 2.2876 | -0.000102911 -13.5553 58.0761 
3.17822 2.29639 | -0.000910166 -12.8238 14.2244 
3.15283 2.31299 | -0.00103368 -12.6041 -4.72769 -0.394273 
3.08447 2.36377 | -0.00113349 -12.1357 -43.0054 -0.291541 
3.0249 2.39404 | -0.00143798 -11.6232 -58.7688 -0.234796 
3.06787 2.45752 | 0.000845556 
3.00049 2.50049 | 0.000820513 
3.24854 2.60107 | 0.00812435 
3.07568 2.64697 | 0.00610552 
3.1499 2.77979 | 0.0114804 
3.50049 2.50049 | 0.0113254 
3.68115 2.78857 | 0.0246738 
3.94287 2.50049 | 0.0247887 
3.99951 1.99951 | 0.0162746 
3.89307 1.71045 | 0.00877032 
3.7417 1.72705 | 0.00404619 
3.71924 1.62061 | 0.00234994 
3.68213 1.5249 | 0.000522676 
3.59033 1.61279 | -0.00146579 -14.0663 137.788 
3.5542 1.75049 | -0.00113107 -14.4351 166.452 
3.46924 1.95264 | -0.000725722 -14.5227 192.461 
3.34326 1.83838 | -0.00535425 -10.9793 116.753 
3.28662 1.91455 | -0.00558672 -10.6596 75.6243 
3.36572 1.9751 | -0.00290314 -12.7053 147.183 
3.28076 1.94189 | -0.00531547 -10.8187 72.9598 
3.24561 1.97119 | -0.00561973 -10.4885 42.9364 
3.19287 1.96338 | -0.0068146 -9.51868 -6.39357 -0.916165 
3.15283 1.89014 | -0.00865822 -8.16086 -47.0128 -0.868229 
3.08154 1.95557 | -0.00902001 -7.68376 -85.2008 -0.971365 
3.02393 1.90186 | -0.0107855 -6.32336 -108.128 -0.926927 
3.09619 1.8374 | -0.0104056 -6.78481 -89.7085 -0.802233 
3.18408 1.78369 | -0.00940887 -7.69035 -32.0325 -0.655631 
3.21436 1.68799 | -0.0098295 -7.36395 -14.5549 -0.44246 
3.06689 1.72217 | -0.0122583 -5.31927 -114.742 -0.558203 
3.06885 1.60498 | -0.0133109 -4.37348 -125.7 -0.315441 
3.14502 1.55029 | -0.0123423 -5.11317 -86.9229 -0.217828 
3.2417 1.5874 | -0.0101478 -7.00668 0.879072 
3.29932 1.52881 | -0.00933388 -7.56691 48.5792 
3.40771 1.68311 | -0.00558034 -10.8436 143.767 
3.45361 1.48291 | -0.00598416 -10.1711 141.951 
3.3501 1.34326 | -0.00906751 -7.16896 72.5324 
3.29443 1.40186 | -0.0101147 -6.54882 31.4801 
3.34033 1.48584 | -0.00867938 -7.99492 79.1848 
3.22607 1.44678 | -0.0113627 -5.6722 -27.8275 -0.0935736 
3.06494 1.34814 | -0.0147993 -2.41943 -152.885 -0.0390166 
3.21729 1.20264 | -0.0121512 -3.906 -60.3926 -0.00414787 
3.0708 1.06885 | -0.0147451 -0.818688 -178.532 -6.04553e-05 
3.28174 1.06104 | -0.0106053 -4.22319 -14.2235 -3.19228e-05 
3.36279 1.09619 | -0.00887136 -5.90134 57.2121 
3.29639 1.16455 | -0.0104668 -5.06141 9.51602 
3.41357 1.1626 | -0.00775839 -7.25542 94.658 
3.54736 1.03076 | -0.00405971 -9.28349 96.4976 
3.6333 1.17529 | -0.00195038 -11.9788 67.9606 
3.50049 1.3042 | -0.00547873 -9.88751 130.419 
