754 4
0.250977 -0.999023 | 0.063844 
0.250977 -0.749023 | 0.0534738 
0.000976563 -0.499023 | 0.0547238 
0.500977 -0.499023 | 0.0352336 
0.788086 -0.233398 | 0.0179813 
0.94043 -0.254883 | 0.014532 
0.983398 -0.483398 | 0.0206395 
0.702148 -0.651367 | 0.0342112 
1.00098 -0.999023 | 0.0402336 
1.11426 -0.563477 | 0.0203869 
1.3877 -0.581055 | 0.0158199 
1.38965 -0.999023 | 0.0324237 
1.79004 -0.993164 | 0.0272804 
1.78418 -0.629883 | 0.0127138 
1.93652 -0.62207 | 0.0113936 
1.73926 -0.551758 | 0.0103094 
1.61621 -0.614258 | 0.0138234 
1.52832 -0.362305 | 0.0064195 
1.68066 -0.25293 | 0.00130714 
1.64941 -0.375977 | 0.00536847 
1.76074 -0.426758 | 0.00589288 
1.92676 -0.473633 | 0.00625708 
1.89941 -0.319336 | 0.00148734 
1.86621 -0.276367 | 0.000410752 
1.77246 -0.254883 | 0.000494736 
1.91113 -0.147461 | -0.00350905 9.8908 
1.71582 -0.198242 | -0.000604888 9.34093 
1.59668 -0.110352 | -0.00168983 8.83992 
1.48535 -0.0478516 | -0.00182144 8.15495 
1.32715 -0.0595703 | 0.000983872 
1.3623 -0.135742 | 0.00235941 
1.35059 -0.204102 | 0.00443005 
1.40723 -0.344727 | 0.0076467 
1.28223 -0.499023 | 0.0147899 
1.1709 -0.329102 | 0.011472 
1.06738 -0.499023 | 0.019195 
1.01855 -0.163086 | 0.0100382 
1.17871 -0.0673828 | 0.00399291 
1.08301 -0.00488281 | 0.00449414 
1.00098 0.000976563 | 0.00625314 
1.14551 0.0107422 | 0.00276288 
1.13574 0.120117 | 0.000487916 
1.20605 0.15918 | -0.00178766 5.55923 
1.13184 0.223633 | -0.00155733 4.64088 
1.06543 0.125977 | 0.00190776 
1.05176 0.225586 | 0.000179429 
1.09668 0.291992 | -0.00208206 4.12027 
1.04395 0.334961 | -0.00165245 3.372 
1.06738 0.424805 | -0.00366251 3.50875 
1.21387 0.268555 | -0.00409952 5.528 
1.39355 0.276367 | -0.00746548 7.25505 
1.4502 0.102539 | -0.00483372 7.87451 
1.65918 0.0654297 | -0.00670264 9.18264 
1.85059 0.133789 | -0.00991104 9.80022 
1.84473 0.43457 | -0.015379 9.36044 
1.53809 0.426758 | -0.0121397 8.063 
1.71777 0.569336 | -0.0161972 8.6365 
1.81738 0.709961 | -0.0186347 8.5083 
1.81543 0.946289 | -0.0203774 7.52477 
1.52637 0.915039 | -0.0171502 6.34893 
1.37012 0.776367 | -0.0138183 5.73791 
1.26465 0.56543 | -0.00972438 5.44557 
1.16504 0.629883 | -0.00853822 4.16673 
1.04395 0.532227 | -0.00467616 2.94433 
1.05371 0.870117 | -0.00827199 1.88875 
1.20605 0.901367 | -0.0117289 3.59142 
1.11621 0.893555 | -0.00981493 2.57971 
1.04785 0.950195 | -0.00860152 1.44708 
0.975586 0.942383 | -0.00684444 0.492119 
0.956055 0.956055 | -0.00643091 0.146692 
0.938477 0.942383 | -0.00592192 -0.0454357 -194.702 -1.48799 
0.958008 0.993164 | -0.00664674 -0.00585185 -195.498 -1.4577 
0.897461 0.975586 | -0.0050303 -0.821034 -172.386 -1.29701 
0.905273 0.911133 | -0.00490239 -0.397812 -183.107 -1.4714 
0.901367 0.875977 | -0.00458562 -0.300241 -184.521 -1.45101 
0.944336 0.875977 | -0.00568317 0.342589 
0.981445 0.911133 | -0.0068168 0.720053 
0.958008 0.75293 | -0.00507584 1.04283 
0.928711 0.870117 | -0.00525001 0.137377 
