469 4
1.52588e-05 -0.499985 | 0.0547988 
0.500015 -0.499985 | 0.035299 
1.00002 -0.999985 | 0.040299 
1.8629 -0.845566 | 0.0204798 
1.56783 -0.58223 | 0.0132599 
1.70647 -0.332016 | 0.00340648 
1.90056 -0.4095 | 0.00430156 
1.90681 -0.210526 | -0.0017446 9.8289 
1.62822 -0.043869 | -0.00375857 9.03532 
1.62358 -0.0154572 | -0.00440405 9.01544 
1.37193 -0.20549 | 0.00411097 
1.43739 -0.396805 | 0.00881355 
1.19273 -0.46022 | 0.0152092 
1.00002 1.52588e-05 | 0.00629927 
1.12971 0.123123 | 0.000551738 
1.13597 0.202621 | -0.00123078 4.71301 
1.03355 0.198898 | 0.00112801 
1.03477 0.372513 | -0.00207515 3.18323 
1.09898 0.446091 | -0.00469384 3.8648 
1.14702 0.26738 | -0.00271449 4.76865 
1.39781 0.0670929 | -0.00323016 7.47048 
1.53474 0.294052 | -0.00986693 8.28062 
1.94572 0.705276 | -0.0194059 8.73601 
1.57597 0.798386 | -0.016993 7.15785 
1.33324 0.572464 | -0.0110492 6.0934 
1.1342 0.795609 | -0.0095054 3.21191 
1.09871 0.963333 | -0.00981147 2.03883 
0.992935 0.801926 | -0.00634531 1.34937 
0.915359 0.806778 | -0.00445075 0.203016 
0.895157 0.754288 | -0.00348725 0.100692 
0.89949 0.793045 | -0.00393062 0.0171331 
0.884476 0.829483 | -0.00382113 -0.361733 -179.257 -1.37219 
0.923874 0.834427 | -0.00487858 0.217334 
0.931015 0.861435 | -0.00525051 0.209207 
0.892868 0.87294 | -0.00434438 -0.417152 -180.002 -1.45292 
0.884689 0.84819 | -0.00396188 -0.436886 -177.52 -1.42017 
0.849197 0.84697 | -0.00300702 -0.990246 -152.878 -1.42947 
0.862228 0.793076 | -0.0029478 -0.562174 -167.934 -1.30829 
0.805649 0.777969 | -0.00127675 -1.41917 -123.613 -1.36161 
0.796829 0.815811 | -0.00133511 -1.71679 -111.946 -1.36207 
0.765457 0.933945 | -0.00121301 -2.76463 -71.1779 -0.748352 
0.871017 0.892349 | -0.00389156 -0.842118 -164.162 -1.43533 
0.787369 0.967056 | -0.0020021 -2.54962 -88.2169 -0.707212 
0.712112 0.959579 | 0.000216115 
0.716965 0.885757 | 0.00048142 
0.536514 0.944412 | 0.0058251 
0.524155 0.661118 | 0.00848852 
0.723373 0.580185 | 0.00314597 
0.798904 0.613266 | 0.000573256 
0.767227 0.709427 | 0.000435 
0.769516 0.744064 | 4.16183e-05 
0.801224 0.745804 | -0.000871309 -1.37017 -122.893 -1.29445 
0.835373 0.713089 | -0.00150711 -0.69038 -155.371 -1.04609 
0.853653 0.680527 | -0.00167497 -0.283566 -172.897 -0.781404 
0.875168 0.737015 | -0.00280464 -0.144417 -182.494 -0.986463 
0.908585 0.713303 | -0.00345372 0.455862 
0.952744 0.741928 | -0.00484521 1.00756 
0.944382 0.666672 | -0.00388984 1.15047 
0.975357 0.560959 | -0.00341876 1.92239 
0.890945 0.499649 | -0.000458847 0.834196 
0.793106 0.458969 | 0.00278477 
0.860886 0.384293 | 0.00208606 
0.973984 0.279922 | 0.000996584 
0.824356 0.0646515 | 0.00931412 
0.574661 0.00431824 | 0.0182138 
0.705948 0.465256 | 0.00522041 
0.431595 0.136703 | 0.0200786 
0.16893 0.367447 | 0.0256839 
1.52588e-05 1.00002 | 0.0262993 
0.403641 1.39775 | 0.0101601 
0.304764 1.14781 | 0.0134464 
0.511856 1.20634 | 0.0059987 
0.64119 1.15858 | 0.00181605 
0.745041 1.24162 | -0.00131362 -4.79103 -21.1925 -0.00881744 
0.721878 1.09273 | -0.000536482 -4.32955 -14.3888 -0.0778938 
0.805099 1.01268 | -0.00269164 -2.47899 -99.6556 -0.577605 
0.857437 1.00829 | -0.00410771 -1.60722 -142.931 -0.90652 
0.911758 1.10857 | -0.00582074 -1.29639 -166.685 -0.673715 
0.990921 1.22746 | -0.00787374 -0.837776 -177.011 -0.483005 
0.825821 1.36446 | -0.00334586 -4.22863 -82.3642 -0.0039561 
0.998062 1.4265 | -0.00754044 -2.05863 -157.339 -0.0364584 
0.864334 1.39192 | -0.00429163 -3.80012 -109.551 -0.00514841 
0.758987 1.45888 | -0.00106465 -6.01603 -12.6057 -0.000131054 
0.703568 1.49962 | 0.000790815 
0.655838 1.3502 | 0.00156998 
0.526657 1.46645 | 0.0062107 
0.640701 1.61195 | 0.00351118 
0.687546 1.50475 | 0.00130388 
0.784103 1.55858 | -0.00116658 -6.33962 -26.0647 -9.57997e-05 
0.892776 1.52446 | -0.00435893 -4.32344 -114.796 -0.000457718 
0.916428 1.74516 | -0.00305239 -5.76766 -105.286 -6.45125e-06 
0.77739 1.64961 | -0.000240281 -7.18344 -10.7522 -0.000169265 
0.767441 1.75648 | 0.00111901 
0.802994 1.81328 | 0.000777365 
0.816269 1.75667 | -0.000254089 -7.4454 -35.0248 -0.00012431 
0.985367 1.76793 | -0.00452123 -4.9631 -122.575 -6.17318e-06 
0.919052 1.9044 | -0.00112988 -7.18111 -90.5842 -6.79914e-06 
0.977615 1.97658 | -0.00152703 -7.02597 -100.864 -4.49787e-08 
0.843735 1.99919 | 0.00228162 
0.800705 1.99879 | 0.00346099 
0.656052 1.77089 | 0.00459691 
0.434525 1.95583 | 0.0143818 
0.462875 1.74232 | 0.0106172 
1.52588e-05 2.00002 | 0.0322996 
0.0338287 2.56084 | 0.0429417 
0.500015 2.50002 | 0.0232999 
0.838455 2.84932 | 0.0232406 
0.999985 2.49998 | 0.00879997 
0.75737 2.49995 | 0.0152106 
0.749985 2.24998 | 0.00955012 
0.750015 2.00002 | 0.0049248 
0.875015 2.12502 | 0.00361238 
0.999985 2.12498 | 0.000456334 
0.937485 2.06248 | 0.000878247 
1.00002 2.00002 | -0.00170012 -6.94439 -99.9985 -2.40784e-09 
1.12502 2.12502 | -0.00238755 -6.60588 -43.542 -3.64152e-05 
1.18752 2.18752 | -0.00249688 -6.5473 11.3767 
1.24998 2.12498 | -0.00491874 -5.19531 62.498 
1.25002 2.00002 | -0.00707505 -3.90624 50.0298 
1.37801 2.10982 | -0.00746558 -3.81497 169.039 
1.25002 2.25002 | -0.00244997 -6.56251 75.0298 
1.37502 2.37502 | -0.00188739 -6.81428 193.585 
1.37498 2.49998 | 0.00120611 
1.24998 2.49998 | 0.00342489 
1.00002 2.50002 | 0.00880003 
1.01164 2.74333 | 0.0154407 
1.25002 2.75002 | 0.0105502 
1.49998 2.74998 | 0.00642474 
1.37498 2.62498 | 0.00461232 
1.37502 2.50002 | 0.00120639 
1.50002 2.50002 | -0.000699817 -7.3612 250.002 
1.62502 2.50002 | -0.00229353 -6.60167 206.055 
1.62502 2.62502 | 0.00111276 
1.50002 2.75002 | 0.00642526 
1.62669 2.89601 | 0.00955135 
1.75002 2.75002 | 0.00355034 
1.8878 2.88454 | 0.00685132 
1.99998 2.74998 | 0.00192459 
1.87498 2.74998 | 0.00258088 
1.81248 2.68748 | 0.00112779 
1.81252 2.62502 | -0.000691871 -7.47086 55.0873 
1.87498 2.62498 | -0.00113784 -7.3349 6.44508 
1.81248 2.56248 | -0.00243467 -6.66 48.8609 
1.87502 2.50002 | -0.00454345 -5.73367 -6.0722 -0.00851814 
1.99998 2.49998 | -0.00520034 -5.62481 -50.0015 -0.0157943 
1.87498 2.37498 | -0.00763776 -4.20991 -18.5549 -0.0288464 
1.81248 2.31248 | -0.0086221 -3.61314 23.8609 
1.75002 2.37502 | -0.00666853 -4.53572 87.4871 
1.74998 2.49998 | -0.00357526 -6.05889 100.013 
1.62086 2.37154 | -0.00542105 -5.05868 195.937 
1.74998 2.24998 | -0.00945018 -3.09016 75.0129 
1.62169 2.10966 | -0.0108807 -2.1206 169.214 
1.75002 2.00002 | -0.0140749 -0.434127 49.9871 
1.75002 2.12502 | -0.0119186 -1.7232 62.4871 
1.81252 2.18752 | -0.0112467 -2.20716 11.3373 
1.87502 2.12502 | -0.0128873 -1.39771 -43.5722 -0.204447 
1.99998 2.12498 | -0.013544 -1.2889 -87.5015 -0.357753 
1.93748 2.06248 | -0.0143721 -0.661748 -82.326 -0.382437 
1.93752 2.00002 | -0.0154108 -0.0272661 -88.5839 -0.456341 
1.99998 1.99998 | -0.0157002 0.000152586 
1.79573 1.94853 | -0.0152627 0.218293 
1.91982 1.77586 | -0.0183988 2.07112 
1.76546 1.5916 | -0.0190782 3.28502 
