459 4
0.000976563 -0.499023 | 0.0547238 
0.500977 -0.499023 | 0.0352336 
1.00098 -0.999023 | 0.0402336 
1.83691 -0.874023 | 0.021834 
1.58887 -0.500977 | 0.010168 
1.69434 -0.333008 | 0.00355809 
1.96191 -0.389648 | 0.00333667 
1.86621 -0.227539 | -0.00100717 9.74626 
1.69434 -0.0146484 | -0.00518933 9.35064 
1.57129 -0.0439453 | -0.00307323 8.71883 
1.31738 -0.217773 | 0.00539095 
1.20605 -0.485352 | 0.0157834 
1.00098 0.000976563 | 0.00625314 
1.13574 0.116211 | 0.000572434 
1.14355 0.198242 | -0.00130405 4.80801 
1.03223 0.194336 | 0.00125055 
1.09668 0.450195 | -0.00470477 3.82673 
1.14941 0.272461 | -0.0028594 4.79013 
1.38965 0.0654297 | -0.00306081 7.40229 
1.54395 0.299805 | -0.0100924 8.33095 
1.5459 0.782227 | -0.0164762 7.0383 
1.35254 0.575195 | -0.0114143 6.26173 
1.12988 0.780273 | -0.00928679 3.22027 
0.987305 0.813477 | -0.0062997 1.22375 
0.930664 0.797852 | -0.00477063 0.467753 
0.901367 0.768555 | -0.00377408 0.141406 
0.889648 0.78418 | -0.00360072 -0.0990152 -186.963 -1.16752 
0.881836 0.833008 | -0.0037776 -0.417331 -177.238 -1.38826 
0.936523 0.813477 | -0.00504227 0.491595 
0.930664 0.854492 | -0.00519411 0.233779 
0.911133 0.862305 | -0.00474783 -0.0924773 -191 -1.4062 
0.891602 0.848633 | -0.00414635 -0.332021 -181.685 -1.41009 
0.864258 0.854492 | -0.00346417 -0.783103 -163.24 -1.44026 
0.84668 0.78418 | -0.00245618 -0.774482 -157.22 -1.31868 
0.803711 0.791992 | -0.00133906 -1.50638 -120.492 -1.37672 
0.782227 0.821289 | -0.000964965 -1.98471 -98.0631 -1.31189 
0.756836 0.922852 | -0.000904662 -2.86148 -64.1832 -0.753771 
0.87207 0.883789 | -0.00386613 -0.787606 -165.734 -1.44543 
0.78418 0.956055 | -0.00185944 -2.55051 -86.3873 -0.745342 
0.717773 0.973633 | -1.76231e-05 -3.7873 -22.4991 -0.333343 
0.709961 0.897461 | 0.000617463 
0.522461 0.948242 | 0.00627519 
0.518555 0.663086 | 0.00865535 
0.733398 0.588867 | 0.00274403 
0.811523 0.624023 | 9.61617e-05 
0.774414 0.692383 | 0.000399705 
0.764648 0.749023 | 0.00013614 
0.790039 0.739258 | -0.000497268 -1.53296 -113.439 -1.294 
0.833008 0.706055 | -0.0013735 -0.703719 -154.151 -1.01997 
0.84668 0.670898 | -0.00138576 -0.362399 -168.548 -0.763403 
0.893555 0.625977 | -0.00213698 0.518847 
0.889648 0.725586 | -0.0030791 0.122142 
0.950195 0.676758 | -0.00414206 1.2016 
0.975586 0.541992 | -0.00317836 1.97794 
0.907227 0.493164 | -0.000791198 1.09924 
0.782227 0.458008 | 0.00310634 
0.848633 0.37793 | 0.00251993 
0.817383 0.0732422 | 0.00931213 
0.59082 0.00683594 | 0.017631 
0.700195 0.456055 | 0.00552869 
0.454102 0.139648 | 0.0192251 
0.180664 0.321289 | 0.0259985 
0.000976563 1.00098 | 0.0262531 
0.37793 1.38379 | 0.0110372 
0.286133 1.13574 | 0.0141702 
0.514648 1.19629 | 0.00590424 
0.668945 1.18262 | 0.000944306 
0.729492 1.22559 | -0.000869521 -4.96481 -8.19482 -0.00873443 
0.735352 1.06348 | -0.000861663 -3.93395 -29.8941 -0.145101 
0.754883 1.02637 | -0.00131488 -3.39966 -51.9921 -0.295446 
0.813477 1.00488 | -0.00289482 -2.30113 -107.787 -0.662959 
