1178 4
0.125977 -0.874023 | 0.0635315 
0.250977 -0.999023 | 0.063844 
0.250977 -0.749023 | 0.0534738 
0.000976563 -0.499023 | 0.0547238 
0.0634766 -0.178711 | 0.0421558 
0.370117 -0.245117 | 0.0318683 
0.446289 -0.297852 | 0.0306906 
0.500977 -0.499023 | 0.0352336 
0.59082 -0.245117 | 0.0242782 
0.647461 -0.0458984 | 0.0171264 
0.805664 -0.227539 | 0.0173204 
0.928711 -0.0908203 | 0.0103239 
0.979492 -0.180664 | 0.0114587 
0.948242 -0.256836 | 0.0143927 
0.866211 -0.385742 | 0.0204357 
0.993164 -0.469727 | 0.0199444 
0.905273 -0.68457 | 0.0297792 
0.856445 -0.508789 | 0.024751 
0.72168 -0.65332 | 0.0337023 
0.731445 -0.958008 | 0.0456365 
1.00098 -0.999023 | 0.0402336 
1.05566 -0.678711 | 0.0258906 
1.24902 -0.59668 | 0.0188241 
1.28223 -0.620117 | 0.0190513 
1.45801 -0.674805 | 0.0181545 
1.29199 -0.770508 | 0.0245738 
1.41504 -0.883789 | 0.0270834 
1.5752 -0.801758 | 0.0214742 
1.68066 -0.958008 | 0.0267671 
1.9502 -0.911133 | 0.0226928 
1.78223 -0.829102 | 0.0204179 
1.95996 -0.713867 | 0.0147051 
1.83691 -0.594727 | 0.0110287 
1.74121 -0.713867 | 0.0162338 
1.54004 -0.616211 | 0.0148417 
1.55762 -0.44043 | 0.00853665 
1.50098 -0.354492 | 0.0065508 
1.61621 -0.364258 | 0.00537712 
1.72559 -0.354492 | 0.00391515 
1.74707 -0.444336 | 0.00658986 
1.82715 -0.473633 | 0.00690065 
1.89746 -0.420898 | 0.00468842 
1.97559 -0.358398 | 0.00228967 
1.93652 -0.295898 | 0.00057132 
1.87012 -0.342773 | 0.00238973 
1.77832 -0.293945 | 0.00159686 
1.87402 -0.198242 | -0.00188658 9.79154 
1.6416 -0.12207 | -0.00190321 9.07074 
1.42676 -0.0751953 | -0.000259734 7.70387 
1.38965 -0.00488281 | -0.00141588 7.41293 
1.30566 -0.0322266 | 0.000682191 
1.36426 -0.0966797 | 0.00129843 
1.29199 -0.176758 | 0.0046994 
1.37207 -0.219727 | 0.00451091 
1.42871 -0.125977 | 0.00103101 
1.46777 -0.233398 | 0.00340787 
1.40137 -0.291992 | 0.00613855 
1.4873 -0.479492 | 0.0107863 
1.36816 -0.467773 | 0.0122342 
1.33691 -0.348633 | 0.00893181 
1.17676 -0.250977 | 0.00902358 
1.22168 -0.430664 | 0.0136618 
1.10449 -0.43457 | 0.0162196 
1.04004 -0.204102 | 0.0106701 
1.1709 -0.213867 | 0.0080807 
1.12988 -0.0634766 | 0.00491524 
1.09863 -0.0283203 | 0.0047178 
1.00098 0.000976563 | 0.00625314 
1.0791 0.0673828 | 0.00289235 
1.14551 0.00292969 | 0.00294931 
1.19629 0.0751953 | 0.000226212 
1.12793 0.118164 | 0.000697038 
1.19043 0.163086 | -0.00155577 5.38209 
1.15332 0.231445 | -0.00216363 4.88784 
1.07324 0.166992 | 0.000866883 
1.04004 0.239258 | 0.000185349 
1.05566 0.290039 | -0.00112466 3.59684 
1.1123 0.307617 | -0.00270572 4.29119 
1.01465 0.317383 | -0.000659286 3.00569 
1.07129 0.401367 | -0.00338197 3.60765 
1.21191 0.299805 | -0.00463335 5.46224 
1.36426 0.430664 | -0.00959657 6.7296 
1.43652 0.272461 | -0.00806775 7.60951 
1.30176 0.147461 | -0.00335322 6.55993 
1.47949 0.0810547 | -0.0047883 8.10213 
1.65332 0.0322266 | -0.00587447 9.16277 
1.7998 0.143555 | -0.00973767 9.67016 
1.80176 0.43457 | -0.0150552 9.25496 
1.60059 0.422852 | -0.0128674 8.44513 
1.56934 0.700195 | -0.0160246 7.48632 
1.63184 0.561523 | -0.0151954 8.27045 
1.98535 0.614258 | -0.0186083 9.05523 
1.7666 0.680664 | -0.0179246 8.46344 
1.92871 0.84082 | -0.0204739 8.19726 
1.79199 0.981445 | -0.0203576 7.29145 
1.66504 0.868164 | -0.018537 7.33657 
1.50293 0.963867 | -0.0170833 5.96157 
1.32129 0.915039 | -0.0139666 4.70781 
1.47559 0.842773 | -0.0159761 6.31454 
1.41699 0.512695 | -0.0116451 6.98246 
1.31738 0.661133 | -0.0118061 5.67138 
1.2002 0.516602 | -0.00783357 4.89053 
1.09863 0.514648 | -0.00567284 3.69574 
1.0459 0.625977 | -0.00588547 2.69879 
1.04004 0.786133 | -0.00733205 2.05551 
1.13574 0.780273 | -0.00941185 3.29084 
1.14551 0.844727 | -0.0101183 3.14556 
1.16309 0.958008 | -0.0111625 2.84149 
1.0498 0.993164 | -0.0088427 1.26412 
0.979492 0.97168 | -0.00708231 0.407401 
0.969727 0.944336 | -0.00671063 0.399301 
0.959961 0.956055 | -0.00652794 0.203223 
0.938477 0.942383 | -0.00592192 -0.0454357 -194.702 -1.48799 
0.881836 0.944336 | -0.00447079 -0.912001 -166.105 -1.34613 
0.885742 0.885742 | -0.00423968 -0.583365 -174.42 -1.45975 
0.924805 0.893555 | -0.00529968 -0.0241899 -194.222 -1.45365 
0.956055 0.887695 | -0.00605066 0.461786 
0.983398 0.926758 | -0.00695219 0.675864 
0.946289 0.750977 | -0.00476587 0.879622 
0.90918 0.788086 | -0.0041411 0.184184 
0.907227 0.750977 | -0.00377115 0.297351 
0.875977 0.756836 | -0.00300568 -0.205812 -181.048 -1.08965 
0.916992 0.874023 | -0.0049763 -0.0549724 -192.666 -1.4246 
0.827148 0.817383 | -0.00218883 -1.22293 -138.181 -1.40469 
0.819336 0.762695 | -0.00152531 -1.13459 -137.054 -1.31084 
0.801758 0.786133 | -0.00123633 -1.51574 -119.337 -1.37137 
0.790039 0.766602 | -0.000741759 -1.6359 -110.705 -1.34829 
0.762695 0.768555 | 1.98982e-05 
0.754883 0.799805 | -1.48003e-05 -2.36531 -74.6484 -1.26159 
0.776367 0.817383 | -0.000768737 -2.06805 -93.0254 -1.30004 
0.766602 0.87207 | -0.00087831 -2.46565 -78.4384 -1.06285 
0.80957 0.895508 | -0.0022399 -1.84597 -115.315 -1.19483 
0.842773 0.93457 | -0.00337483 -1.48337 -139.133 -1.20015 
0.780273 0.981445 | -0.0018661 -2.73957 -80.2422 -0.595054 
0.733398 0.956055 | -0.000395705 -3.42593 -38.8044 -0.469329 
0.729492 0.885742 | 0.000111512 
0.713867 0.922852 | 0.00035402 
