457 4
3.05176e-05 -0.499969 | 0.0547976 
0.500031 -0.499969 | 0.0352979 
1.00003 -0.999969 | 0.0402979 
1.81375 -0.849335 | 0.0209896 
1.56461 -0.586273 | 0.013445 
1.9025 -0.428497 | 0.00490512 
1.91757 -0.20224 | -0.00203957 9.85056 
1.62564 -0.0621033 | -0.00327207 9.01713 
1.60733 -0.013031 | -0.00427298 8.92882 
1.37021 -0.218842 | 0.00451665 
1.21335 -0.46756 | 0.0150424 
1.00003 3.05176e-05 | 0.00629854 
1.13205 0.116241 | 0.000650507 
1.03329 0.198334 | 0.00114537 
1.03476 0.372894 | -0.00208111 3.18231 
1.09921 0.445709 | -0.00469313 3.86851 
1.14725 0.266693 | -0.0027065 4.77228 
1.39664 0.0665588 | -0.00319919 7.46082 
1.90457 0.195831 | -0.0115437 9.84089 
1.53342 0.294464 | -0.00985672 8.27142 
1.95535 0.704071 | -0.019442 8.74687 
1.56851 0.799408 | -0.0169075 7.10944 
1.32285 0.580719 | -0.0109709 5.97262 
1.13309 0.793243 | -0.00946246 3.2079 
1.09439 0.967133 | -0.00973401 1.9663 
0.993317 0.800446 | -0.00634272 1.36064 
0.914642 0.805328 | -0.0044209 0.198051 
0.896271 0.756134 | -0.00353273 0.110804 
0.900665 0.79306 | -0.00396129 0.0350216 
0.882965 0.831635 | -0.00379726 -0.394089 -178.092 -1.38202 
0.921906 0.834137 | -0.00482619 0.189096 
0.931427 0.861298 | -0.00526003 0.215914 
0.891632 0.872284 | -0.00430776 -0.433305 -179.338 -1.45277 
0.884552 0.847565 | -0.00395386 -0.436361 -177.496 -1.41904 
0.847748 0.843903 | -0.00294609 -1.00046 -152.072 -1.42781 
0.863129 0.795013 | -0.00298761 -0.555647 -168.384 -1.31277 
0.805389 0.774139 | -0.00123704 -1.40861 -123.767 -1.35551 
0.793671 0.81369 | -0.00123002 -1.761 -109.301 -1.35698 
0.765411 0.936676 | -0.00122616 -2.77819 -70.8618 -0.734153 
0.869293 0.893646 | -0.00385367 -0.874966 -162.849 -1.42994 
0.789398 0.967865 | -0.00206316 -2.51938 -89.9932 -0.714892 
0.714203 0.960663 | 0.000148754 
0.716156 0.886017 | 0.000503784 
0.536041 0.943085 | 0.00584764 
0.524933 0.662872 | 0.00844356 
0.724152 0.57901 | 0.00313757 
0.802155 0.612946 | 0.000486048 
0.765778 0.710785 | 0.000463253 
0.767853 0.742584 | 0.000102748 
0.802765 0.745148 | -0.000908434 -1.34208 -124.334 -1.28972 
0.835114 0.71402 | -0.00150908 -0.697897 -155.068 -1.05205 
0.855377 0.682037 | -0.00173704 -0.26128 -174.033 -0.781083 
0.876678 0.735748 | -0.0028329 -0.11617 -183.621 -0.971882 
0.910126 0.714386 | -0.00350403 0.475341 
0.951996 0.743744 | -0.00484316 0.989941 
0.94339 0.666901 | -0.00386736 1.13516 
0.973969 0.561554 | -0.00339233 1.90094 
0.892975 0.499481 | -0.000509587 0.865847 
0.794098 0.457306 | 0.00278155 
0.859833 0.382843 | 0.00213794 
0.825592 0.0654602 | 0.00926178 
0.58017 0.01297 | 0.0178289 
0.705536 0.466583 | 0.00521323 
0.448761 0.113861 | 0.0199654 
0.231293 0.369537 | 0.0231548 
3.05176e-05 1.00003 | 0.0262985 
0.391632 1.43729 | 0.010765 
0.374054 1.1586 | 0.0108579 
0.550323 1.21201 | 0.00471577 
0.683746 1.11844 | 0.000556774 
0.657501 1.01151 | 0.00164833 
0.735504 1.04416 | -0.000809655 -3.82949 -31.9691 -0.186547 
0.803375 1.04526 | -0.00275494 -2.67523 -94.8664 -0.422071 
0.884064 1.0162 | -0.00484531 -1.22969 -160.327 -1.02414 
0.955719 1.05002 | -0.0067927 -0.329421 -189.236 -1.24784 
0.928986 1.07498 | -0.00618893 -0.854741 -177.826 -0.964159 
0.960968 1.23367 | -0.00713666 -1.30201 -172.15 -0.331683 
0.861053 1.36215 | -0.00430929 -3.64697 -110.18 -0.00891883 
0.963531 1.41061 | -0.00676787 -2.43477 -155.023 -0.0261252 
0.8508 1.39664 | -0.00390992 -4.04775 -99.1328 -0.00343686 
0.783051 1.44028 | -0.00184521 -5.47048 -36.9246 -0.000252263 
0.685333 1.48972 | 0.0012815 
0.614471 1.37308 | 0.00293857 
0.540924 1.46768 | 0.00574187 
0.685638 1.61148 | 0.00212607 
0.658295 1.50748 | 0.00221397 
0.7966 1.52353 | -0.00175798 -5.85959 -40.9674 -8.5983e-05 
0.853241 1.52591 | -0.00330023 -4.95333 -88.0494 -0.000165499 
0.989594 1.74026 | -0.0049303 -4.66104 -125.654 -1.66067e-05 
0.805389 1.68277 | -0.000719946 -6.98966 -32.9035 -0.000116063 
0.790497 1.74564 | 0.000344178 
0.771332 1.86356 | 0.00231399 
0.869476 1.7919 | -0.0012936 -6.90285 -73.1496 -3.56197e-05 
0.932709 1.77615 | -0.0031202 -5.79729 -109.185 -3.21404e-06 
0.894806 1.89462 | -0.000639675 -7.45631 -78.9634 -1.90921e-05 
0.964691 1.91861 | -0.00207612 -6.64616 -104.468 -2.65644e-07 
0.903717 1.96432 | 0.000145421 
0.769501 1.92722 | 0.00325171 
0.696808 1.76297 | 0.00326522 
0.40976 1.88199 | 0.0142007 
0.488068 1.71939 | 0.00950479 
3.05176e-05 2.00003 | 0.0322991 
0.500031 2.50003 | 0.0232998 
0.874664 2.86374 | 0.0227454 
0.999969 2.49997 | 0.00879994 
0.755646 2.4971 | 0.0151863 
0.749969 2.24997 | 0.00955024 
0.750031 2.00003 | 0.0049246 
0.875031 2.12503 | 0.00361226 
0.999969 2.12497 | 0.000456418 
0.937469 2.06247 | 0.000878369 
1.00003 2.00003 | -0.00170024 -6.94433 -99.9969 -2.40784e-09 
1.12503 2.12503 | -0.00238759 -6.60586 -43.5303 -3.64318e-05 
1.18753 2.18753 | -0.00249689 -6.5473 11.3916 
1.24997 2.12497 | -0.00491873 -5.19531 62.4821 
1.25003 2.00003 | -0.00707509 -3.90624 50.0457 
1.37808 2.10983 | -0.00746656 -3.81447 169.091 
1.25003 2.25003 | -0.00244994 -6.56253 75.0457 
1.37503 2.37503 | -0.00188729 -6.81433 193.597 
1.37497 2.49997 | 0.00120596 
1.24997 2.49997 | 0.00342479 
1.00003 2.50003 | 0.00880006 
1.25003 2.75003 | 0.0105504 
1.49997 2.74997 | 0.00642448 
1.37497 2.62497 | 0.00461213 
1.37503 2.50003 | 0.00120654 
1.50003 2.50003 | -0.000699634 -7.36128 250.003 
1.62503 2.50003 | -0.00229331 -6.60179 206.046 
1.62503 2.62503 | 0.00111302 
1.50003 2.75003 | 0.00642552 
1.75003 2.75003 | 0.00355067 
1.88553 2.88535 | 0.00689282 
1.99997 2.74997 | 0.00192418 
1.87497 2.74997 | 0.0025805 
1.81247 2.68747 | 0.00112745 
1.81253 2.62503 | -0.000691554 -7.47102 55.0756 
1.87497 2.62497 | -0.00113817 -7.33472 6.45373 
1.81247 2.56247 | -0.00243497 -6.65984 48.8726 
1.87503 2.50003 | -0.00454315 -5.73384 -6.08084 -0.00851731 
1.99997 2.49997 | -0.00520067 -5.62462 -50.003 -0.0157959 
1.87497 2.37497 | -0.00763802 -4.20976 -18.5463 -0.0288477 
1.81247 2.31247 | -0.00862232 -3.61301 23.8726 
1.75003 2.37503 | -0.00666831 -4.53585 87.4743 
1.74997 2.49997 | -0.00357552 -6.05875 100.026 
1.62015 2.37039 | -0.00543954 -5.04889 196.287 
1.74997 2.24997 | -0.00945037 -3.09004 75.0257 
1.62131 2.10953 | -0.0108787 -2.12116 169.448 
1.75003 2.00003 | -0.0140748 -0.434227 49.9743 
1.75003 2.12503 | -0.0119185 -1.72331 62.4743 
1.81253 2.18753 | -0.0112465 -2.20729 11.3256 
1.87503 2.12503 | -0.0128871 -1.39784 -43.5808 -0.204445 
1.99997 2.12497 | -0.0135442 -1.28874 -87.503 -0.35776 
1.93747 2.06247 | -0.0143722 -0.661604 -82.322 -0.382443 
1.93753 2.00003 | -0.0154106 -0.0274054 -88.5879 -0.456334 
1.99997 1.99997 | -0.0157004 0.000305167 
1.79587 1.95877 | -0.0151094 0.118669 
1.90878 1.78165 | -0.0182688 2.00656 
1.754 1.58768 | -0.0190079 3.27795 
1.61795 1.51035 | -0.018149 3.28352 
1.74442 1.84433 | -0.0162728 1.04248 
1.60355 1.88144 | -0.0142988 0.0589686 
1.45468 1.97128 | -0.0109962 -1.77998 191.091 
1.48172 1.8721 | -0.0128235 -0.62728 186.223 
1.28439 1.83591 | -0.0100729 -1.98259 65.7666 
1.20688 1.91891 | -0.00746872 -3.57393 1.76053 
1.17996 1.96902 | -0.00618124 -4.36252 -16.9824 -0.000181555 
1.01962 1.98874 | -0.002346 -6.56229 -99.9849 -3.34077e-08 
1.06577 1.83255 | -0.00563392 -4.45667 -104.112 -1.26048e-05 
1.21518 1.77127 | -0.00953778 -2.12088 -5.41483 -0.00286881 
1.004 1.6821 | -0.0058716 -3.96267 -131.742 -0.000135583 
1.15414 1.58932 | -0.0100461 -1.28344 -76.0322 -0.0309942 
1.2048 1.54434 | -0.0114101 -0.353714 -37.5778 -0.134322 
1.34177 1.56058 | -0.0138342 0.902665 
1.32297 1.59573 | -0.0132421 0.45094 
1.25949 1.63931 | -0.0117245 -0.526377 22.8846 
1.31851 1.74551 | -0.0117539 -0.842227 87.1574 
1.42862 1.6785 | -0.0142601 0.689424 
1.47903 1.69223 | -0.0148792 0.956134 
1.47873 1.53482 | -0.0161766 2.22385 
1.37106 1.32693 | -0.0154675 2.85116 
1.20688 1.41891 | -0.0121579 0.598359 
1.11002 1.49979 | -0.00972063 -1.1239 -115.577 -0.0675921 
1.02859 1.43497 | -0.00822601 -1.7008 -154.085 -0.0528549 
1.0126 1.25925 | -0.0083658 -0.734752 -173.604 -0.437484 
1.12143 1.2778 | -0.0108063 0.557737 
1.14188 1.29312 | -0.011217 0.705868 
1.24039 1.29062 | -0.0132093 1.82873 
1.18582 1.22696 | -0.0122072 1.63305 
1.13956 1.05838 | -0.011054 2.05817 
1.34433 1.24442 | -0.0151586 3.14314 
1.62967 1.11893 | -0.0191815 5.91761 
1.64896 1.48013 | -0.0186788 3.66724 
1.99338 1.37637 | -0.021762 5.26369 
2.00003 1.00003 | -0.0217002 7.49985 
2.31644 1.30716 | -0.0222496 5.03297 
2.56186 1.06778 | -0.0210158 4.95736 
2.90317 1.03653 | -0.0172883 1.64935 
2.90756 1.19577 | -0.0174934 0.705408 
2.82803 1.3428 | -0.0183518 0.730809 
2.87283 1.25186 | -0.0179461 0.791566 
