611 4
0.250977 -0.749023 | 0.0534738 
0.000976563 -0.499023 | 0.0547238 
0.500977 -0.499023 | 0.0352336 
0.807617 -0.243164 | 0.0177145 
0.973633 -0.483398 | 0.0208781 
0.678711 -0.68457 | 0.0361593 
1.00098 -0.999023 | 0.0402336 
1.49902 -0.53418 | 0.0124875 
1.46582 -0.922852 | 0.0279552 
1.81934 -0.991211 | 0.0269631 
1.94043 -0.65918 | 0.0127393 
1.64746 -0.678711 | 0.0158485 
1.55566 -0.541992 | 0.0119971 
1.56152 -0.307617 | 0.00430562 
1.68848 -0.422852 | 0.00645303 
1.8291 -0.459961 | 0.00643036 
1.96582 -0.307617 | 0.000777497 
1.76074 -0.178711 | -0.00156209 9.52263 
1.7666 -0.114258 | -0.00334892 9.58907 
1.52637 -0.0966797 | -0.00114841 8.4188 
1.38379 -0.0693359 | 0.00027414 
1.29395 -0.0673828 | 0.00177194 
1.27832 -0.174805 | 0.00489581 
1.49707 -0.262695 | 0.00383588 
1.3916 -0.46582 | 0.0117847 
1.22754 -0.411133 | 0.0129143 
1.12402 -0.155273 | 0.00744492 
1.2373 -0.104492 | 0.00378482 
1.00098 0.000976563 | 0.00625314 
1.15527 0.0185547 | 0.00237267 
1.1377 0.114258 | 0.000573273 
1.13379 0.213867 | -0.00140736 4.67509 
1.03223 0.213867 | 0.000861527 
1.11816 0.280273 | -0.00233734 4.40338 
1.0498 0.317383 | -0.00148038 3.47823 
1.1084 0.436523 | -0.0047551 4.00311 
1.17676 0.254883 | -0.00309729 5.13114 
1.41895 0.307617 | -0.00843606 7.41881 
1.42871 0.0634766 | -0.00363428 7.72346 
1.86816 0.217773 | -0.0117512 9.76074 
1.51074 0.352539 | -0.0105673 8.02698 
1.88379 0.713867 | -0.0191369 8.6322 
1.5459 0.831055 | -0.0168603 6.84137 
1.32129 0.754883 | -0.0127974 5.37643 
1.2666 0.516602 | -0.00911734 5.59758 
1.10059 0.500977 | -0.00552655 3.75488 
1.0498 0.790039 | -0.00758983 2.16966 
1.12793 0.858398 | -0.00983974 2.87658 
1.09668 0.973633 | -0.00981442 1.96352 
0.979492 0.991211 | -0.00716768 0.311556 
0.959961 0.860352 | -0.00596942 0.637813 
0.924805 0.762695 | -0.00432642 0.51765 
0.936523 0.84082 | -0.00524617 0.378509 
0.928711 0.870117 | -0.00525001 0.137377 
0.905273 0.866211 | -0.00462268 -0.198208 -187.599 -1.42762 
0.875977 0.858398 | -0.0038027 -0.61593 -170.892 -1.44346 
0.829102 0.858398 | -0.00253946 -1.36297 -135.703 -1.38521 
0.864258 0.774414 | -0.00284669 -0.457003 -171.248 -1.22544 
0.782227 0.803711 | -0.000828735 -1.9133 -99.821 -1.34047 
0.772461 0.862305 | -0.000980941 -2.32317 -84.8952 -1.13765 
0.817383 0.963867 | -0.00282611 -2.03498 -115.263 -0.904419 
0.725586 0.948242 | -0.000127212 -3.5266 -32.2843 -0.46465 
0.711914 0.915039 | 0.000456025 
0.647461 0.924805 | 0.0023611 
0.569336 0.987305 | 0.00454305 
0.545898 0.84668 | 0.00610887 
0.62793 0.854492 | 0.00340781 
0.74707 0.65332 | 0.00159863 
0.52832 0.598633 | 0.00906155 
0.663086 0.616211 | 0.00452915 
0.698242 0.522461 | 0.00464336 
0.801758 0.553711 | 0.00122771 
0.868164 0.557617 | -0.000635574 0.326459 
0.864258 0.620117 | -0.00129529 0.0809262 
0.754883 0.581055 | 0.00221457 
0.786133 0.676758 | 0.000228028 
0.75293 0.708008 | 0.000860688 
0.80957 0.723633 | -0.000897796 -1.15024 -132.503 -1.19484 
0.856445 0.633789 | -0.00124266 -0.0855917 -179.649 -0.526309 
0.905273 0.678711 | -0.00301941 0.525974 
0.913086 0.717773 | -0.0036131 0.50796 
0.924805 0.577148 | -0.00235933 1.13916 
