418 4
0.000976563 -0.499023 | 0.0547238 
0.500977 -0.499023 | 0.0352336 
1.00098 -0.999023 | 0.0402336 
1.77441 -0.801758 | 0.0193816 
1.51074 -0.532227 | 0.0122569 
1.68652 -0.389648 | 0.0054064 
1.86035 -0.40918 | 0.0045482 
1.87988 -0.327148 | 0.00184657 
1.95215 -0.231445 | -0.00139534 9.85018 
1.68262 -0.0439453 | -0.00434915 9.29565 
1.56543 -0.0263672 | -0.00343344 8.68679 
1.35059 -0.245117 | 0.00559868 
1.35059 -0.399414 | 0.0102963 
1.19824 -0.444336 | 0.0145736 
1.00098 0.000976563 | 0.00625314 
1.13184 0.120117 | 0.000571214 
1.12793 0.198242 | -0.000971465 4.62045 
1.05762 0.200195 | 0.000546479 
1.05371 0.348633 | -0.00211195 3.47764 
1.1123 0.428711 | -0.00472032 4.06827 
1.14746 0.262695 | -0.00263621 4.7801 
1.40137 0.114258 | -0.0043335 7.47874 
1.52441 0.293945 | -0.00972649 8.21328 
1.9834 0.71582 | -0.0196865 8.71709 
1.58887 0.797852 | -0.0171479 7.23476 
1.33691 0.579102 | -0.0111957 6.10825 
1.22754 0.801758 | -0.0114572 4.24924 
1.03613 0.879883 | -0.00792938 1.61285 
0.967773 0.942383 | -0.00665251 0.380539 
0.967773 0.981445 | -0.00683852 0.192665 
0.920898 0.983398 | -0.00566983 -0.50421 -183.523 -1.3682 
0.879883 0.938477 | -0.00438896 -0.91478 -165.439 -1.35773 
0.907227 0.881836 | -0.00477508 -0.236821 -187.059 -1.45444 
0.922852 0.897461 | -0.00527362 -0.0708734 -192.984 -1.46255 
0.944336 0.889648 | -0.0057699 0.28224 
0.944336 0.920898 | -0.0059541 0.140791 
0.97168 0.899414 | -0.00650877 0.634284 
0.99707 0.833008 | -0.00668277 1.28005 
0.93457 0.807617 | -0.00494723 0.486467 
0.905273 0.772461 | -0.00390893 0.185856 
0.899414 0.78418 | -0.0038557 0.0509236 
0.887695 0.84082 | -0.00398846 -0.359264 -180.114 -1.39754 
0.883789 0.870117 | -0.00408766 -0.54503 -174.763 -1.45284 
0.848633 0.842773 | -0.00296196 -0.981545 -152.865 -1.42809 
0.817383 0.768555 | -0.00152225 -1.18908 -134.795 -1.33079 
0.780273 0.750977 | -0.000327544 -1.74139 -103.289 -1.32716 
0.762695 0.977539 | -0.00134666 -3.02037 -64.2258 -0.520623 
0.696289 0.928711 | 0.000847443 
0.600586 0.981445 | 0.00355891 
0.600586 0.838867 | 0.00438542 
0.702148 0.729492 | 0.00214937 
0.606445 0.571289 | 0.00684694 
0.754883 0.55957 | 0.00248514 
0.795898 0.625977 | 0.000510041 
0.75293 0.729492 | 0.000653901 
0.803711 0.711914 | -0.00062149 -1.2053 -128.499 -1.16398 
0.817383 0.731445 | -0.00118826 -1.04992 -138.506 -1.20262 
0.829102 0.674805 | -0.000948074 -0.659259 -154.062 -0.870344 
0.915039 0.639648 | -0.00284882 0.80254 
0.944336 0.456055 | -0.00119853 1.74096 
0.875977 0.391602 | 0.00156546 
0.81543 0.479492 | 0.00186166 
0.833008 0.370117 | 0.00307373 
0.836914 0.0107422 | 0.0102234 
0.530273 0.0205078 | 0.0192919 
0.706055 0.475586 | 0.00506648 
0.493164 0.104492 | 0.0186343 
0.135742 0.327148 | 0.0277303 
0.000976563 1.00098 | 0.0262531 
0.329102 1.37598 | 0.0128123 
0.274414 1.1377 | 0.0146176 
0.508789 1.15723 | 0.00612024 
0.672852 1.15918 | 0.000838486 
0.749023 1.10645 | -0.00135915 -3.92821 -38.4629 -0.098226 
